inquiry_type,project_type,service_needed,budget_range,project_timeline,city,preferred_contact,message_length,lead_score
Product Inquiry,Commercial,Exterior Solutions,"Below ₹10,000",3+ Months,Madurai,Email,77,0
Bulk Order Inquiry,Industrial,Special Effects & Textures,"₹10,000 - ₹50,000",1-4 Weeks,Chennai,Email,115,0
Bulk Order Inquiry,Commercial,Color Consultation,"₹10,000 - ₹50,000",1-3 Months,Trivandrum,Email,305,0
Other,Industrial,Commercial Services,"Below ₹10,000",Urgent (Within 1 Week),Trivandrum,WhatsApp,277,0
Technical Support,Commercial,Maintenance Program,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Trivandrum,Phone,298,1
Bulk Order Inquiry,Residential,Maintenance Program,"₹50,000 - ₹2,00,000",1-4 Weeks,Hyderabad,WhatsApp,172,0
General Feedback,Residential,Interior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Pune,Phone,186,0
Bulk Order Inquiry,Industrial,Professional Painting,"Below ₹10,000",Urgent (Within 1 Week),Delhi,Email,236,1
General Feedback,Residential,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Coimbatore,Phone,71,0
Other,Commercial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Chennai,Phone,334,0
Product Inquiry,Industrial,Special Effects & Textures,"₹10,000 - ₹50,000",3+ Months,Trivandrum,WhatsApp,254,0
Bulk Order Inquiry,Residential,Exterior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Pune,WhatsApp,288,0
Dealership Inquiry,Residential,Commercial Services,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Trivandrum,Email,279,1
Other,Industrial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Mumbai,Phone,82,0
Product Inquiry,Commercial,Interior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Coimbatore,Phone,272,0
Bulk Order Inquiry,Commercial,Color Consultation,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Trivandrum,Email,81,1
Other,Residential,Professional Painting,"₹10,000 - ₹50,000",1-3 Months,Delhi,Email,60,0
Dealership Inquiry,Industrial,Professional Painting,"₹10,000 - ₹50,000",1-4 Weeks,Kochi,WhatsApp,98,0
Product Inquiry,Residential,Interior Solutions,"₹10,000 - ₹50,000",1-3 Months,Bengaluru,WhatsApp,98,0
Product Inquiry,Commercial,Special Effects & Textures,"₹10,000 - ₹50,000",1-3 Months,Delhi,Email,232,0
Dealership Inquiry,Industrial,Commercial Services,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Bengaluru,WhatsApp,194,1
Bulk Order Inquiry,Residential,Commercial Services,"₹10,000 - ₹50,000",1-4 Weeks,Pune,Email,229,0
Bulk Order Inquiry,Industrial,Maintenance Program,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Kochi,WhatsApp,225,2
Product Inquiry,Industrial,Maintenance Program,"Below ₹10,000",1-4 Weeks,Trivandrum,Phone,178,0
General Feedback,Residential,Maintenance Program,"₹2,00,000 - ₹10,00,000",1-3 Months,Bengaluru,Phone,205,1
Bulk Order Inquiry,Commercial,Color Consultation,"₹10,000 - ₹50,000",1-4 Weeks,Kochi,Phone,234,0
Product Inquiry,Commercial,Commercial Services,"₹10,000 - ₹50,000",1-3 Months,Hyderabad,WhatsApp,214,0
Product Inquiry,Commercial,Commercial Services,"Above ₹10,00,000",Urgent (Within 1 Week),Delhi,WhatsApp,248,1
General Feedback,Residential,Interior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Delhi,Phone,48,0
Dealership Inquiry,Industrial,Commercial Services,"₹10,000 - ₹50,000",1-3 Months,Pune,Phone,282,0
Other,Commercial,Interior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Hyderabad,Email,272,0
Product Inquiry,Industrial,Professional Painting,"Below ₹10,000",Urgent (Within 1 Week),Delhi,Email,314,0
Bulk Order Inquiry,Industrial,Interior Solutions,"₹10,000 - ₹50,000",1-3 Months,Bengaluru,Email,308,1
Product Inquiry,Residential,Interior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Chennai,Email,313,0
Dealership Inquiry,Residential,Maintenance Program,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Chennai,WhatsApp,291,1
Product Inquiry,Commercial,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Kochi,Email,66,0
Bulk Order Inquiry,Residential,Professional Painting,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Madurai,Phone,67,1
Product Inquiry,Industrial,Commercial Services,"₹10,000 - ₹50,000",1-3 Months,Madurai,Email,253,0
Bulk Order Inquiry,Industrial,Exterior Solutions,"₹10,000 - ₹50,000",3+ Months,Hyderabad,WhatsApp,192,0
Dealership Inquiry,Industrial,Professional Painting,"₹50,000 - ₹2,00,000",1-3 Months,Hyderabad,WhatsApp,146,0
Product Inquiry,Residential,Exterior Solutions,"₹10,000 - ₹50,000",1-3 Months,Kochi,WhatsApp,120,0
Dealership Inquiry,Industrial,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Kochi,Email,184,0
Dealership Inquiry,Industrial,Maintenance Program,"Above ₹10,00,000",1-3 Months,Delhi,Phone,341,1
Product Inquiry,Residential,Color Consultation,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Chennai,Email,176,0
Bulk Order Inquiry,Commercial,Color Consultation,"₹50,000 - ₹2,00,000",1-3 Months,Kochi,WhatsApp,187,0
Technical Support,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Bengaluru,WhatsApp,316,0
Product Inquiry,Residential,Color Consultation,"₹10,000 - ₹50,000",1-4 Weeks,Delhi,WhatsApp,168,0
Bulk Order Inquiry,Industrial,Color Consultation,"₹50,000 - ₹2,00,000",3+ Months,Mumbai,Phone,177,0
Dealership Inquiry,Commercial,Special Effects & Textures,"₹10,000 - ₹50,000",1-4 Weeks,Kochi,Email,339,0
General Feedback,Residential,Interior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Coimbatore,WhatsApp,93,0
General Feedback,Residential,Exterior Solutions,"₹50,000 - ₹2,00,000",1-4 Weeks,Bengaluru,Phone,321,1
Product Inquiry,Residential,Special Effects & Textures,"Below ₹10,000",1-3 Months,Trivandrum,Phone,303,0
General Feedback,Industrial,Exterior Solutions,"Below ₹10,000",1-4 Weeks,Chennai,Email,295,0
Product Inquiry,Residential,Color Consultation,"Below ₹10,000",1-4 Weeks,Madurai,Email,288,0
Bulk Order Inquiry,Residential,Professional Painting,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Bengaluru,Phone,248,1
Other,Industrial,Special Effects & Textures,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Hyderabad,Phone,189,0
Bulk Order Inquiry,Residential,Exterior Solutions,"Above ₹10,00,000",1-4 Weeks,Delhi,WhatsApp,322,1
Dealership Inquiry,Commercial,Interior Solutions,"₹2,00,000 - ₹10,00,000",3+ Months,Trivandrum,Phone,181,1
Bulk Order Inquiry,Industrial,Special Effects & Textures,"₹10,000 - ₹50,000",1-4 Weeks,Kochi,Email,340,0
General Feedback,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Pune,Email,318,0
Other,Residential,Interior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Kochi,WhatsApp,250,0
Other,Commercial,Color Consultation,"₹10,000 - ₹50,000",3+ Months,Mumbai,WhatsApp,117,0
Other,Residential,Commercial Services,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Kochi,Email,265,0
Bulk Order Inquiry,Residential,Exterior Solutions,"₹10,000 - ₹50,000",1-3 Months,Hyderabad,Phone,119,0
Dealership Inquiry,Industrial,Maintenance Program,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Trivandrum,Phone,208,1
Other,Industrial,Color Consultation,"₹50,000 - ₹2,00,000",3+ Months,Madurai,Email,289,0
Product Inquiry,Industrial,Color Consultation,"₹50,000 - ₹2,00,000",1-4 Weeks,Coimbatore,Email,156,0
Bulk Order Inquiry,Industrial,Interior Solutions,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Chennai,Email,125,1
Technical Support,Residential,Professional Painting,"Below ₹10,000",1-4 Weeks,Trivandrum,Phone,260,0
Dealership Inquiry,Industrial,Maintenance Program,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Coimbatore,WhatsApp,80,2
Dealership Inquiry,Commercial,Special Effects & Textures,"₹10,000 - ₹50,000",1-3 Months,Hyderabad,Phone,158,0
Product Inquiry,Industrial,Commercial Services,"Below ₹10,000",1-3 Months,Mumbai,Email,187,0
General Feedback,Industrial,Interior Solutions,"₹10,000 - ₹50,000",1-3 Months,Kochi,Phone,257,0
Product Inquiry,Commercial,Commercial Services,"₹10,000 - ₹50,000",1-4 Weeks,Pune,WhatsApp,161,0
Product Inquiry,Commercial,Color Consultation,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Madurai,WhatsApp,242,0
Bulk Order Inquiry,Commercial,Maintenance Program,"Above ₹10,00,000",3+ Months,Delhi,WhatsApp,294,2
Bulk Order Inquiry,Industrial,Maintenance Program,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Mumbai,WhatsApp,168,1
Product Inquiry,Residential,Commercial Services,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Pune,WhatsApp,265,0
Product Inquiry,Residential,Professional Painting,"Above ₹10,00,000",1-4 Weeks,Mumbai,WhatsApp,252,1
Bulk Order Inquiry,Residential,Interior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Kochi,Phone,179,0
Bulk Order Inquiry,Residential,Maintenance Program,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Delhi,WhatsApp,78,1
Bulk Order Inquiry,Commercial,Color Consultation,"Above ₹10,00,000",3+ Months,Coimbatore,Email,325,1
Product Inquiry,Industrial,Exterior Solutions,"Below ₹10,000",1-4 Weeks,Pune,Email,174,0
Dealership Inquiry,Commercial,Commercial Services,"₹10,000 - ₹50,000",1-3 Months,Delhi,WhatsApp,327,0
Product Inquiry,Industrial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",3+ Months,Bengaluru,Email,194,1
Product Inquiry,Residential,Professional Painting,"Below ₹10,000",3+ Months,Trivandrum,Email,99,0
Technical Support,Commercial,Commercial Services,"₹10,000 - ₹50,000",3+ Months,Mumbai,Phone,316,0
Dealership Inquiry,Residential,Special Effects & Textures,"₹2,00,000 - ₹10,00,000",1-3 Months,Pune,Email,183,1
General Feedback,Industrial,Interior Solutions,"Above ₹10,00,000",3+ Months,Trivandrum,WhatsApp,90,1
Technical Support,Commercial,Color Consultation,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Delhi,WhatsApp,102,0
Dealership Inquiry,Residential,Professional Painting,"Above ₹10,00,000",Urgent (Within 1 Week),Madurai,Email,210,2
Product Inquiry,Residential,Interior Solutions,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Mumbai,WhatsApp,150,1
Product Inquiry,Industrial,Interior Solutions,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Mumbai,Email,106,1
Dealership Inquiry,Industrial,Interior Solutions,"Below ₹10,000",Urgent (Within 1 Week),Chennai,Email,161,1
Product Inquiry,Industrial,Color Consultation,"Below ₹10,000",1-4 Weeks,Kochi,Phone,98,0
Bulk Order Inquiry,Residential,Commercial Services,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Chennai,WhatsApp,297,1
Bulk Order Inquiry,Industrial,Color Consultation,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Chennai,Phone,274,1
Bulk Order Inquiry,Residential,Color Consultation,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Pune,WhatsApp,267,1
Product Inquiry,Industrial,Special Effects & Textures,"Below ₹10,000",1-3 Months,Pune,Phone,339,0
Other,Commercial,Color Consultation,"₹50,000 - ₹2,00,000",1-4 Weeks,Bengaluru,WhatsApp,349,0
Dealership Inquiry,Commercial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",1-3 Months,Delhi,Phone,150,1
Technical Support,Commercial,Exterior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Pune,WhatsApp,88,0
Product Inquiry,Residential,Color Consultation,"Above ₹10,00,000",1-3 Months,Bengaluru,Email,282,1
General Feedback,Industrial,Color Consultation,"₹50,000 - ₹2,00,000",1-4 Weeks,Madurai,WhatsApp,106,0
Dealership Inquiry,Industrial,Color Consultation,"₹50,000 - ₹2,00,000",1-4 Weeks,Hyderabad,WhatsApp,256,1
Technical Support,Industrial,Exterior Solutions,"Below ₹10,000",1-4 Weeks,Delhi,Email,119,0
Technical Support,Industrial,Professional Painting,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Coimbatore,WhatsApp,182,0
Other,Residential,Commercial Services,"₹2,00,000 - ₹10,00,000",1-3 Months,Hyderabad,Email,325,1
Product Inquiry,Commercial,Color Consultation,"₹50,000 - ₹2,00,000",1-4 Weeks,Mumbai,Email,213,0
Dealership Inquiry,Residential,Special Effects & Textures,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Trivandrum,Email,55,1
Technical Support,Industrial,Interior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Madurai,WhatsApp,199,0
Product Inquiry,Industrial,Color Consultation,"Below ₹10,000",Urgent (Within 1 Week),Hyderabad,Phone,65,0
Dealership Inquiry,Residential,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Trivandrum,Email,179,0
Technical Support,Commercial,Commercial Services,"Below ₹10,000",1-3 Months,Hyderabad,Email,343,0
Product Inquiry,Commercial,Professional Painting,"Above ₹10,00,000",Urgent (Within 1 Week),Mumbai,Phone,144,1
Product Inquiry,Residential,Professional Painting,"Below ₹10,000",1-4 Weeks,Coimbatore,WhatsApp,260,0
Bulk Order Inquiry,Residential,Exterior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Chennai,Phone,221,0
Product Inquiry,Commercial,Commercial Services,"Above ₹10,00,000",3+ Months,Coimbatore,WhatsApp,334,1
Dealership Inquiry,Residential,Maintenance Program,"₹10,000 - ₹50,000",1-4 Weeks,Madurai,Phone,206,0
Bulk Order Inquiry,Residential,Exterior Solutions,"Above ₹10,00,000",Urgent (Within 1 Week),Madurai,Phone,94,2
Dealership Inquiry,Residential,Interior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Mumbai,Email,213,0
Dealership Inquiry,Commercial,Special Effects & Textures,"Below ₹10,000",1-4 Weeks,Mumbai,Email,218,0
Product Inquiry,Industrial,Color Consultation,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Mumbai,WhatsApp,118,0
General Feedback,Industrial,Commercial Services,"₹2,00,000 - ₹10,00,000",1-3 Months,Madurai,Phone,269,2
Bulk Order Inquiry,Commercial,Exterior Solutions,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Hyderabad,Phone,74,1
Dealership Inquiry,Commercial,Color Consultation,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Chennai,Phone,276,1
Bulk Order Inquiry,Industrial,Commercial Services,"Below ₹10,000",3+ Months,Trivandrum,Phone,86,0
General Feedback,Commercial,Maintenance Program,"₹50,000 - ₹2,00,000",1-3 Months,Madurai,WhatsApp,61,0
Product Inquiry,Commercial,Color Consultation,"₹50,000 - ₹2,00,000",1-4 Weeks,Pune,WhatsApp,71,0
Product Inquiry,Commercial,Commercial Services,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Trivandrum,WhatsApp,264,0
Product Inquiry,Commercial,Special Effects & Textures,"₹10,000 - ₹50,000",1-4 Weeks,Madurai,Email,249,0
Bulk Order Inquiry,Industrial,Special Effects & Textures,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Coimbatore,Phone,88,1
Product Inquiry,Residential,Interior Solutions,"₹2,00,000 - ₹10,00,000",3+ Months,Bengaluru,WhatsApp,348,1
Dealership Inquiry,Residential,Commercial Services,"Above ₹10,00,000",1-4 Weeks,Bengaluru,Phone,240,1
Dealership Inquiry,Industrial,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-4 Weeks,Trivandrum,Email,105,0
Dealership Inquiry,Commercial,Professional Painting,"₹10,000 - ₹50,000",1-4 Weeks,Delhi,Phone,225,0
Other,Residential,Color Consultation,"₹10,000 - ₹50,000",1-4 Weeks,Hyderabad,Email,110,0
Dealership Inquiry,Residential,Special Effects & Textures,"₹50,000 - ₹2,00,000",1-3 Months,Pune,WhatsApp,309,0
Product Inquiry,Industrial,Exterior Solutions,"₹10,000 - ₹50,000",Urgent (Within 1 Week),Chennai,Phone,124,0
Technical Support,Industrial,Maintenance Program,"₹50,000 - ₹2,00,000",3+ Months,Kochi,Email,185,0
Dealership Inquiry,Residential,Interior Solutions,"₹10,000 - ₹50,000",1-3 Months,Madurai,Phone,280,0
General Feedback,Commercial,Professional Painting,"₹10,000 - ₹50,000",1-4 Weeks,Delhi,WhatsApp,310,0
Product Inquiry,Industrial,Color Consultation,"₹10,000 - ₹50,000",1-3 Months,Trivandrum,Email,230,0
Product Inquiry,Residential,Maintenance Program,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Coimbatore,Email,302,1
Other,Residential,Exterior Solutions,"₹10,000 - ₹50,000",1-4 Weeks,Chennai,Phone,218,0
Dealership Inquiry,Residential,Color Consultation,"₹10,000 - ₹50,000",3+ Months,Pune,Email,231,0
Bulk Order Inquiry,Residential,Interior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Kochi,WhatsApp,110,0
Bulk Order Inquiry,Residential,Color Consultation,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Hyderabad,Email,42,1
Bulk Order Inquiry,Commercial,Color Consultation,"₹50,000 - ₹2,00,000",1-3 Months,Hyderabad,Email,310,0
Technical Support,Residential,Color Consultation,"Below ₹10,000",1-4 Weeks,Kochi,WhatsApp,274,0
Dealership Inquiry,Commercial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Chennai,WhatsApp,113,0
Technical Support,Industrial,Interior Solutions,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Bengaluru,WhatsApp,83,0
Dealership Inquiry,Commercial,Maintenance Program,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Kochi,Email,50,1
Dealership Inquiry,Commercial,Maintenance Program,"Above ₹10,00,000",1-4 Weeks,Bengaluru,Phone,48,1
Product Inquiry,Industrial,Maintenance Program,"₹50,000 - ₹2,00,000",Urgent (Within 1 Week),Pune,Email,337,0
Product Inquiry,Industrial,Exterior Solutions,"₹50,000 - ₹2,00,000",1-3 Months,Kochi,WhatsApp,129,0
Product Inquiry,Residential,Interior Solutions,"Below ₹10,000",1-3 Months,Delhi,Email,274,0
Bulk Order Inquiry,Industrial,Exterior Solutions,"₹2,00,000 - ₹10,00,000",1-4 Weeks,Trivandrum,Phone,198,1
Product Inquiry,Residential,Maintenance Program,"₹2,00,000 - ₹10,00,000",Urgent (Within 1 Week),Pune,Phone,222,1
Product Inquiry,Commercial,Interior Solutions,"₹10,000 - ₹50,000",3+ Months,Mumbai,Phone,265,0
Dealership Inquiry,Residential,Special Effects & Textures,"₹10,000 - ₹50,000",1-3 Months,Coimbatore,Email,176,0
General Feedback,Commercial,Color Consultation,"Above ₹10,00,000",Urgent (Within 1 Week),Bengaluru,Phone,190,1
Dealership Inquiry,Residential,Special Effects & Textures,"₹10,000 - ₹50,000",1-3 Months,Kochi,Phone,258,0
General Feedback,Commercial,Special Effects & Textures,"₹50,000 - ₹2,00,000",3+ Months,Chennai,Email,262,0
Dealership Inquiry,Residential,Professional Painting,"₹10,000 - ₹50,000",1-4 Weeks,Madurai,WhatsApp,121,0
Bulk Order Inquiry,Commercial,Exterior Solutions,"Below ₹10,000",Urgent (Within 1 Week),Madurai,Email,227,1
Dealership Inquiry,Commercial,Maintenance Program,"₹50,000 - ₹2,00,000",3+ Months,Bengaluru,WhatsApp,230,0
Product Inquiry,Residential,Color Consultation,"₹10,000 - ₹50,000",1-4 Weeks,Chennai,WhatsApp,182,0
Product Inquiry,Commercial,Maintenance Program,"₹50,000 - ₹2,00,000",3+ Months,Hyderabad,WhatsApp,100,0
General Feedback,Residential,Color Consultation,"Above ₹10,00,000",1-4 Weeks,Mumbai,Email,291,1
